user,event_count,off_hours_rate,weekend_rate,new_device_rate,new_geography_rate,total_upload_mb,total_download_mb,role_mismatch_rate,user_id,peer_group,peer_avg_events,peer_off_hours_rate,peer_weekend_rate,peer_avg_upload_mb,peer_role_mismatch_rate,upload_above_peer_avg,off_hours_above_peer_avg,weekend_above_peer_avg,role_mismatch_above_peer_avg
mhaingura,324,0.345679012345679,0.19444444444444445,0.006172839506172839,0.006172839506172839,0,0,0.3395061728395062,mhaingura,Customer Service,254.83333333333334,0.16081953459607629,0.1174663525345437,0.0,0.20606812767801277,0.0,0.1848594777496027,0.07697809190990075,0.1334380451614934
nduminga,246,0.14227642276422764,0.10975609756097561,0.0040650406504065045,0.0040650406504065045,0,0,0.23170731707317074,nduminga,Customer Service,254.83333333333334,0.16081953459607629,0.1174663525345437,0.0,0.20606812767801277,0.0,-0.018543111831848647,-0.007710254973568087,0.02563918939515797
jkavari,267,0.1198501872659176,0.11235955056179775,0.003745318352059925,0.003745318352059925,0,0,0.18352059925093633,jkavari,Finance,249.5,0.1181147488053726,0.11005908562572646,0.0,0.16072581686684748,0.0,0.0017354384605450107,0.002300464936071292,0.022794782384088857
amupanda,213,0.11267605633802817,0.14084507042253522,0.004694835680751174,0.004694835680751174,0,0,0.15023474178403756,amupanda,Compliance,232.0,0.11809101621682286,0.11424723640648674,0.0,0.1348783270673176,0.0,-0.005414959878794687,0.026597834016048483,0.015356414716719974
haufiku,269,0.137546468401487,0.12267657992565056,0.0037174721189591076,0.0037174721189591076,0,0,0.19330855018587362,haufiku,Information Technology,256.0,0.13668242400053854,0.12109148614043704,0.0,0.18200288220596303,0.0,0.0008640444009484494,0.0015850937852135288,0.011305667979910589
mukwambi,247,0.10121457489878542,0.10121457489878542,0.004048582995951417,0.004048582995951417,0,0,0.1700404858299595,mukwambi,Human Resources,244.0,0.10247450736640516,0.11699732894316864,0.0,0.16385841718883867,0.0,-0.0012599324676197399,-0.015782754044383215,0.006182068641120836
shilongo,229,0.08733624454148471,0.09606986899563319,0.004366812227074236,0.004366812227074236,0,0,0.18340611353711792,shilongo,Loans,242.0,0.08876616148642863,0.11078003253703228,0.0,0.17993835088620602,0.0,-0.001429916944943918,-0.01471016354139909,0.003467762650911893
hamukwaya,258,0.12015503875968993,0.13953488372093023,0.003875968992248062,0.003875968992248062,0,0,0.17054263565891473,hamukwaya,Treasury,258.0,0.12015503875968993,0.13953488372093023,0.0,0.17054263565891473,0.0,0.0,0.0,0.0
mbandeka,260,0.1423076923076923,0.13846153846153847,0.0038461538461538464,0.0038461538461538464,0,0,0.17307692307692307,mbandeka,Legal,260.0,0.1423076923076923,0.13846153846153847,0.0,0.17307692307692307,0.0,0.0,0.0,0.0
murorua,221,0.12217194570135746,0.11312217194570136,0.004524886877828055,0.004524886877828055,0,0,0.19909502262443438,murorua,Risk,221.0,0.12217194570135746,0.11312217194570136,0.0,0.19909502262443438,0.0,0.0,0.0,0.0
ntinda,256,0.1328125,0.1015625,0.00390625,0.00390625,0,0,0.20703125,ntinda,Marketing,256.0,0.1328125,0.1015625,0.0,0.20703125,0.0,0.0,0.0,0.0
sankwasa,257,0.13618677042801555,0.12062256809338522,0.0038910505836575876,0.0038910505836575876,0,0,0.22178988326848248,sankwasa,Procurement,257.0,0.13618677042801555,0.12062256809338522,0.0,0.22178988326848248,0.0,0.0,0.0,0.0
service_crm,1,0.0,0.0,0.0,0.0,0,0,0.0,,Unknown,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service_files,3,0.0,0.0,0.0,0.0,0,0,0.0,,Unknown,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service_siem,1,0.0,0.0,0.0,0.0,0,0,0.0,,Unknown,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shapaka,231,0.12987012987012986,0.12554112554112554,0.004329004329004329,0.004329004329004329,0,0,0.1774891774891775,shapaka,Executive,231.0,0.12987012987012986,0.12554112554112554,0.0,0.1774891774891775,0.0,0.0,0.0,0.0
tjirera,246,0.12601626016260162,0.10569105691056911,0.0040650406504065045,0.0040650406504065045,0,0,0.22357723577235772,tjirera,Internal Audit,246.0,0.12601626016260162,0.10569105691056911,0.0,0.22357723577235772,0.0,0.0,0.0,0.0
nambala,255,0.09019607843137255,0.12549019607843137,0.00392156862745098,0.00392156862745098,0,0,0.17647058823529413,nambala,Loans,242.0,0.08876616148642863,0.11078003253703228,0.0,0.17993835088620602,0.0,0.001429916944943918,0.01471016354139909,-0.003467762650911893
katjiuongua,255,0.13725490196078433,0.11764705882352941,0.00392156862745098,0.00392156862745098,0,0,0.17647058823529413,katjiuongua,Information Technology,256.0,0.13668242400053854,0.12109148614043704,0.0,0.18200288220596303,0.0,0.0005724779602457875,-0.003444427316907625,-0.0055322939706689
nghifindaka,244,0.13524590163934427,0.12295081967213115,0.004098360655737705,0.004098360655737705,0,0,0.1762295081967213,nghifindaka,Information Technology,256.0,0.13668242400053854,0.12109148614043704,0.0,0.18200288220596303,0.0,-0.0014365223611942646,0.00185933353169411,-0.005773374009241716
